n,np,time_serial_s,time_mpi_max_s,speedup
78,3,1e-06,5e-06,0.2
78,4,1e-06,5e-06,0.2
78,5,1e-06,9e-06,0.111
78,6,0.0,1.1e-05,0.0
78,7,0.0,1.2e-05,0.0
78,8,0.0,2e-05,0.0
78,9,0.0,1.1e-05,0.0
78,10,0.0,1.6e-05,0.0
79,1,0.0,3e-06,0.0
79,2,0.0,3e-06,0.0
79,3,1e-06,4e-06,0.25
79,4,0.0,6e-06,0.0
79,5,0.0,1.3e-05,0.0
79,6,0.0,1.1e-05,0.0
79,7,0.0,1.2e-05,0.0
79,8,0.0,1e-05,0.0
79,9,0.0,1.4e-05,0.0
79,10,0.0,2.3e-05,0.0
80,1,1e-06,3e-06,0.333
80,2,0.0,3e-06,0.0
80,3,0.0,5e-06,0.0
80,4,0.0,5e-06,0.0
80,5,1e-06,1.2e-05,0.083
80,6,0.0,1.3e-05,0.0
80,7,0.0,1.1e-05,0.0
80,8,0.0,1.4e-05,0.0
80,9,0.0,1.1e-05,0.0
80,10,0.0,2e-05,0.0
81,1,0.0,3e-06,0.0
81,2,0.0,3e-06,0.0
81,3,0.0,4e-06,0.0
81,4,0.0,6e-06,0.0
81,5,0.0,9e-06,0.0
81,6,0.0,1e-05,0.0
81,7,0.0,1e-05,0.0
81,8,0.0,8e-06,0.0
81,9,0.0,1.2e-05,0.0
81,10,0.0,1.7e-05,0.0
82,1,0.0,6e-06,0.0
82,2,0.0,4e-06,0.0
82,3,0.0,5e-06,0.0
82,4,1e-06,7.1e-05,0.014
82,5,1e-06,8e-06,0.125
82,6,0.0,1.1e-05,0.0
82,7,0.0,1.2e-05,0.0
82,8,1e-06,2.2e-05,0.045
82,9,0.0,1.1e-05,0.0
82,10,1e-06,1.3e-05,0.077
83,1,1e-06,4e-06,0.25
83,2,1e-06,4e-06,0.25
83,3,0.0,5e-06,0.0
83,4,0.0,5e-06,0.0
83,5,0.0,9e-06,0.0
83,6,0.0,1.3e-05,0.0
83,7,0.0,1.3e-05,0.0
83,8,0.0,1.2e-05,0.0
83,9,0.0,1e-05,0.0
83,10,0.0,1.3e-05,0.0
84,1,0.0,2e-06,0.0
84,2,0.0,4e-06,0.0
84,3,0.0,5e-06,0.0
84,4,0.0,5e-06,0.0
84,5,1e-06,1e-05,0.1
84,6,0.0,1.4e-05,0.0
84,7,0.0,9e-06,0.0
84,8,0.0,1e-05,0.0
84,9,0.0,1e-05,0.0
84,10,0.0,1.4e-05,0.0
85,1,1e-06,2e-06,0.5
85,2,0.0,3e-06,0.0
85,3,0.0,5e-06,0.0
85,4,0.0,8e-06,0.0
85,5,0.0,1.8e-05,0.0
85,6,0.0,2e-05,0.0
85,7,0.0,8e-06,0.0
85,8,0.0,8e-06,0.0
85,9,0.0,1.2e-05,0.0
85,10,0.0,1.4e-05,0.0
86,1,0.0,3e-06,0.0
86,2,0.0,3e-06,0.0
86,3,0.0,5e-06,0.0
86,4,0.0,6e-06,0.0
86,5,0.0,9e-06,0.0
86,6,1e-06,1.2e-05,0.083
86,7,1e-06,1.1e-05,0.091
86,8,0.0,1.3e-05,0.0
86,9,0.0,1.2e-05,0.0
86,10,0.0,1.9e-05,0.0
87,1,0.0,3e-06,0.0
87,2,0.0,4e-06,0.0
87,3,1e-06,4e-06,0.25
87,4,0.0,5e-06,0.0
87,5,1e-06,9e-06,0.111
87,6,0.0,1e-05,0.0
87,7,0.0,1.2e-05,0.0
87,8,1e-06,1.8e-05,0.056
87,9,0.0,1.2e-05,0.0
87,10,0.0,1.7e-05,0.0
88,1,1e-06,2e-06,0.5
88,2,0.0,3e-06,0.0
88,3,0.0,5e-06,0.0
88,4,0.0,8e-06,0.0
88,5,0.0,1.1e-05,0.0
88,6,0.0,1.9e-05,0.0
88,7,0.0,1.2e-05,0.0
88,8,0.0,1e-05,0.0
88,9,1e-06,1.2e-05,0.083
88,10,0.0,1.7e-05,0.0
89,1,0.0,7e-06,0.0
89,2,1e-06,7e-06,0.143
89,3,0.0,4e-06,0.0
89,4,1e-06,5e-06,0.2
89,5,0.0,1e-05,0.0
89,6,0.0,1.3e-05,0.0
89,7,0.0,8e-06,0.0
89,8,0.0,1e-05,0.0
89,9,0.0,1e-05,0.0
89,10,0.0,1.6e-05,0.0
90,1,0.0,3e-06,0.0
90,2,0.0,7e-06,0.0
90,3,0.0,5e-06,0.0
90,4,0.0,5e-06,0.0
90,5,0.0,1e-05,0.0
90,6,0.0,1.1e-05,0.0
90,7,1e-06,1.3e-05,0.077
90,8,0.0,9e-06,0.0
90,9,0.0,1.5e-05,0.0
90,10,0.0,1.4e-05,0.0
91,1,1e-06,3e-06,0.333
91,2,1e-06,4e-06,0.25
91,3,1e-06,6e-06,0.167
91,4,0.0,5e-06,0.0
91,5,0.0,1.1e-05,0.0
91,6,0.0,1.7e-05,0.0
91,7,0.0,1.1e-05,0.0
91,8,0.0,1.1e-05,0.0
91,9,1e-06,9e-06,0.111
91,10,0.0,1.5e-05,0.0
92,1,0.0,2e-06,0.0
92,2,0.0,4e-06,0.0
92,3,1e-06,4e-06,0.25
92,4,0.0,9e-06,0.0
92,5,0.0,9e-06,0.0
92,6,0.0,1e-05,0.0
92,7,0.0,1.1e-05,0.0
92,8,0.0,1.5e-05,0.0
92,9,0.0,1.3e-05,0.0
92,10,0.0,1.5e-05,0.0
93,1,0.0,2e-06,0.0
93,2,0.0,4e-06,0.0
93,3,0.0,5e-06,0.0
93,4,1e-06,6e-06,0.167
93,5,0.0,6e-06,0.0
93,6,0.0,1.3e-05,0.0
93,7,0.0,9e-06,0.0
93,8,0.0,9e-06,0.0
93,9,0.0,2.5e-05,0.0
93,10,0.0,1.4e-05,0.0
94,1,0.0,3e-06,0.0
94,2,1e-06,4e-06,0.25
94,3,0.0,4e-06,0.0
94,4,0.0,7e-06,0.0
94,5,0.0,6e-06,0.0
94,6,0.0,1.1e-05,0.0
94,7,0.0,1.1e-05,0.0
94,8,0.0,1e-05,0.0
94,9,0.0,1.2e-05,0.0
94,10,0.0,1.4e-05,0.0
95,1,3e-06,3e-06,1.0
95,2,0.0,4e-06,0.0
95,3,1e-06,4e-06,0.25
95,4,1e-06,7e-06,0.143
95,5,0.0,8e-06,0.0
95,6,0.0,1.1e-05,0.0
95,7,0.0,1e-05,0.0
95,8,0.0,1e-05,0.0
95,9,0.0,1e-05,0.0
95,10,1e-06,1.5e-05,0.067
96,1,0.0,3e-06,0.0
96,2,0.0,4e-06,0.0
96,3,2e-06,5e-06,0.4
96,4,0.0,1.6e-05,0.0
96,5,0.0,9e-06,0.0
96,6,0.0,1e-05,0.0
96,7,0.0,1.2e-05,0.0
96,8,1e-06,9e-06,0.111
96,9,0.0,1.3e-05,0.0
96,10,1e-06,1.2e-05,0.083
97,1,0.0,2e-06,0.0
97,2,0.0,7e-06,0.0
97,3,0.0,4e-06,0.0
97,4,0.0,7e-06,0.0
97,5,1e-06,1e-05,0.1
97,6,0.0,2.3e-05,0.0
97,7,0.0,1e-05,0.0
97,8,0.0,9e-06,0.0
97,9,0.0,1.4e-05,0.0
97,10,1e-06,1e-05,0.1
98,1,1e-06,3e-06,0.333
98,2,1e-06,3e-06,0.333
98,3,0.0,4e-06,0.0
98,4,1e-06,5e-06,0.2
98,5,1e-06,9e-06,0.111
98,6,0.0,3.1e-05,0.0
98,7,0.0,1.1e-05,0.0
98,8,1e-06,1.1e-05,0.091
98,9,0.0,1.6e-05,0.0
98,10,0.0,1.2e-05,0.0
99,1,0.0,3e-06,0.0
99,2,0.0,3e-06,0.0
99,3,0.0,6e-06,0.0
99,4,0.0,6e-06,0.0
99,5,0.0,3.2e-05,0.0
99,6,0.0,1e-05,0.0
99,7,0.0,1.3e-05,0.0
99,8,0.0,1e-05,0.0
99,9,0.0,1.4e-05,0.0
99,10,1e-06,1.5e-05,0.067
100,1,0.0,3e-06,0.0
100,2,0.0,3e-06,0.0
100,3,0.0,4e-06,0.0
100,4,1e-06,4e-06,0.25
100,5,0.0,9e-06,0.0
100,6,0.0,1.1e-05,0.0
100,7,1e-06,1e-05,0.1
100,8,0.0,1.7e-05,0.0
100,9,0.0,1.5e-05,0.0
100,10,0.0,1.2e-05,0.0
